Action,Score,The Pick,Odds
VALUE,65,Rugby Penrith Panthers -13.0 (vs Cantebury Banstown Bulldogs),-182
SKIP,60,Rugby Thomas Jenkins to score 2 or more tries (Bulldogs vs Panthers),200
SKIP,60,Rugby Panthers -17.5 (vs Bulldogs),-110
SKIP,60,AFL Adelaide -33.5 (vs Carlton),-111
SKIP,50,Football CP vs Fiorentina o2.5 goals,100
SKIP,50,Rugby Thomas Jenkins ATTS (Bulldogs vs Panthers),-167
SKIP,50,Golf Bryson Dechambeau u71.5 Round 1,-150
SKIP,50,MLB Francisco Lindor o0.5 RBIs (DiamondBacks vs Mets),205
SKIP,20,Tennis Blockx +4.5 (vs Di Minaur),-149
SKIP,20,Golf Justin Rose to finish top 20 at the Masters,110
